,movieId,title,userId,rating
0,1,Toy Story (1995),3,4.0
1,1,Toy Story (1995),6,5.0
2,1,Toy Story (1995),8,4.0
3,1,Toy Story (1995),10,4.0
4,1,Toy Story (1995),11,4.5
5,1,Toy Story (1995),12,4.0
6,1,Toy Story (1995),13,4.0
7,1,Toy Story (1995),14,4.5
8,1,Toy Story (1995),16,3.0
9,1,Toy Story (1995),19,5.0
10,1,Toy Story (1995),22,3.0
11,1,Toy Story (1995),23,4.0
12,1,Toy Story (1995),24,4.0
13,1,Toy Story (1995),31,3.0
14,1,Toy Story (1995),34,5.0
15,1,Toy Story (1995),39,5.0
16,1,Toy Story (1995),47,1.0
17,1,Toy Story (1995),53,4.0
18,1,Toy Story (1995),54,4.0
19,1,Toy Story (1995),58,5.0
20,1,Toy Story (1995),59,4.5
21,1,Toy Story (1995),66,4.0
22,1,Toy Story (1995),69,4.0
23,1,Toy Story (1995),80,3.0
24,1,Toy Story (1995),82,5.0
25,1,Toy Story (1995),84,5.0
26,1,Toy Story (1995),90,3.5
27,1,Toy Story (1995),91,4.0
28,1,Toy Story (1995),93,5.0
29,1,Toy Story (1995),96,3.5
30,1,Toy Story (1995),97,4.0
31,1,Toy Story (1995),99,4.0
32,1,Toy Story (1995),105,4.0
33,1,Toy Story (1995),107,4.0
34,1,Toy Story (1995),109,3.5
35,1,Toy Story (1995),114,3.0
36,1,Toy Story (1995),115,1.5
37,1,Toy Story (1995),116,3.0
38,1,Toy Story (1995),117,3.0
39,1,Toy Story (1995),124,5.0
40,1,Toy Story (1995),126,4.0
41,1,Toy Story (1995),129,4.0
42,1,Toy Story (1995),130,3.0
43,1,Toy Story (1995),131,2.0
44,1,Toy Story (1995),133,4.0
45,1,Toy Story (1995),134,4.0
46,1,Toy Story (1995),135,4.0
47,1,Toy Story (1995),136,5.0
48,1,Toy Story (1995),137,4.0
49,1,Toy Story (1995),140,4.0
50,1,Toy Story (1995),143,4.0
51,1,Toy Story (1995),144,3.0
52,1,Toy Story (1995),146,3.0
53,1,Toy Story (1995),147,4.5
54,1,Toy Story (1995),149,5.0
55,1,Toy Story (1995),155,2.5
56,1,Toy Story (1995),156,5.0
57,1,Toy Story (1995),159,5.0
58,1,Toy Story (1995),160,5.0
59,1,Toy Story (1995),162,3.0
60,1,Toy Story (1995),168,4.5
61,1,Toy Story (1995),170,4.0
62,1,Toy Story (1995),172,5.0
63,1,Toy Story (1995),175,3.5
64,1,Toy Story (1995),186,4.0
65,1,Toy Story (1995),188,3.0
66,1,Toy Story (1995),189,5.0
67,1,Toy Story (1995),199,4.0
68,1,Toy Story (1995),202,5.0
69,1,Toy Story (1995),204,5.0
70,1,Toy Story (1995),205,4.0
71,1,Toy Story (1995),208,4.0
72,1,Toy Story (1995),209,4.0
73,1,Toy Story (1995),215,2.0
74,1,Toy Story (1995),216,4.0
75,1,Toy Story (1995),220,4.0
76,1,Toy Story (1995),221,4.0
77,1,Toy Story (1995),232,3.0
78,1,Toy Story (1995),233,5.0
79,1,Toy Story (1995),235,2.0
80,1,Toy Story (1995),237,4.5
81,1,Toy Story (1995),238,4.0
82,1,Toy Story (1995),239,5.0
83,1,Toy Story (1995),251,4.0
84,1,Toy Story (1995),258,4.0
85,1,Toy Story (1995),259,5.0
86,1,Toy Story (1995),260,3.0
87,1,Toy Story (1995),264,3.5
88,1,Toy Story (1995),267,4.0
89,1,Toy Story (1995),269,1.0
90,1,Toy Story (1995),271,1.5
91,1,Toy Story (1995),274,3.0
92,1,Toy Story (1995),275,4.0
93,1,Toy Story (1995),279,4.0
94,1,Toy Story (1995),280,4.0
95,1,Toy Story (1995),285,2.5
96,1,Toy Story (1995),286,4.0
97,1,Toy Story (1995),289,3.0
98,1,Toy Story (1995),294,4.5
99,1,Toy Story (1995),295,4.0
100,1,Toy Story (1995),296,5.0
101,1,Toy Story (1995),298,4.0
102,1,Toy Story (1995),303,4.0
103,1,Toy Story (1995),305,5.0
104,1,Toy Story (1995),306,4.0
105,1,Toy Story (1995),307,5.0
106,1,Toy Story (1995),309,4.0
107,1,Toy Story (1995),313,4.0
108,1,Toy Story (1995),314,5.0
109,1,Toy Story (1995),315,5.0
110,1,Toy Story (1995),316,2.5
111,1,Toy Story (1995),317,2.5
112,1,Toy Story (1995),318,5.0
113,1,Toy Story (1995),324,3.0
114,1,Toy Story (1995),325,5.0
115,1,Toy Story (1995),329,4.0
116,1,Toy Story (1995),330,4.0
117,1,Toy Story (1995),332,4.0
118,1,Toy Story (1995),336,5.0
119,1,Toy Story (1995),337,4.5
